Date,Open,High,Low,Close,Adj Close,Volume
2019-08-14,0.890000,0.890000,0.720000,0.820000,0.820000,107600
2019-08-15,0.860000,0.880000,0.820000,0.850000,0.850000,80600
2019-08-16,0.850000,0.850000,0.700000,0.790000,0.790000,93500
2019-08-19,0.800000,0.850000,0.790000,0.820000,0.820000,25000
2019-08-20,0.760000,0.850000,0.760000,0.790000,0.790000,38900
2019-08-21,0.790000,0.810000,0.730000,0.770000,0.770000,38900
2019-08-22,0.780000,0.850000,0.750000,0.850000,0.850000,46600
2019-08-23,0.750000,0.880000,0.750000,0.860000,0.860000,37500
2019-08-26,0.860000,0.900000,0.800000,0.810000,0.810000,13000
2019-08-27,0.790000,0.820000,0.770000,0.800000,0.800000,19800
2019-08-28,0.800000,1.140000,0.800000,1.010000,1.010000,672500
2019-08-29,1.050000,1.340000,1.000000,1.290000,1.290000,290100
2019-08-30,1.280000,1.310000,1.170000,1.270000,1.270000,182800
2019-09-03,1.280000,1.280000,1.200000,1.210000,1.210000,25000
2019-09-04,1.200000,1.300000,1.150000,1.260000,1.260000,67300
2019-09-05,1.270000,1.400000,1.260000,1.380000,1.380000,207400
2019-09-06,1.400000,1.400000,1.280000,1.350000,1.350000,48300
2019-09-09,1.350000,1.350000,1.260000,1.350000,1.350000,61500
2019-09-10,1.320000,1.400000,1.280000,1.400000,1.400000,155800
2019-09-11,1.390000,1.500000,1.320000,1.340000,1.340000,172300
2019-09-12,1.350000,1.420000,1.330000,1.390000,1.390000,29700
2019-09-13,1.430000,1.470000,1.320000,1.400000,1.400000,65800
2019-09-16,1.400000,1.420000,1.270000,1.280000,1.280000,94800
2019-09-17,1.330000,1.370000,1.300000,1.340000,1.340000,27700
2019-09-18,1.330000,1.390000,1.250000,1.300000,1.300000,26700
2019-09-19,1.290000,1.350000,1.260000,1.260000,1.260000,14800
2019-09-20,1.290000,1.340000,1.250000,1.280000,1.280000,56100
2019-09-23,1.300000,1.320000,1.250000,1.310000,1.310000,30800
2019-09-24,1.330000,1.330000,1.250000,1.310000,1.310000,20200
2019-09-25,1.300000,1.330000,1.260000,1.260000,1.260000,32300
2019-09-26,1.290000,1.380000,1.200000,1.220000,1.220000,64500
2019-09-27,1.180000,1.300000,1.180000,1.260000,1.260000,28200
