"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2021","91.123","91.000","91.250","90.955","0.17K","-0.04%"
"Feb 02, 2021","91.155","90.965","91.260","90.795","0.23K","0.24%"
"Feb 01, 2021","90.940","90.575","91.020","90.465","0.17K","0.44%"
"Jan 29, 2021","90.540","90.610","90.725","90.320","0.21K","0.15%"
"Jan 28, 2021","90.402","90.735","90.795","90.370","0.19K","-0.22%"
"Jan 27, 2021","90.605","90.140","90.830","90.100","0.18K","0.54%"
"Jan 26, 2021","90.118","90.305","90.525","90.070","0.10K","-0.25%"
"Jan 25, 2021","90.343","90.215","90.475","90.040","0.11K","0.18%"
"Jan 22, 2021","90.182","90.065","90.270","90.045","0.23K","0.09%"
"Jan 21, 2021","90.097","90.275","90.315","90.015","0.17K","-0.38%"
"Jan 20, 2021","90.439","90.388","90.690","90.248","-","-0.01%"
"Jan 19, 2021","90.446","90.680","90.725","90.385","0.26K","-0.31%"
"Jan 18, 2021","90.727","90.675","90.910","90.675","0.09K","0.00%"
"Jan 15, 2021","90.727","90.200","90.750","90.200","0.21K","0.60%"
"Jan 14, 2021","90.189","90.225","90.520","90.065","0.14K","-0.14%"
"Jan 13, 2021","90.314","89.980","90.400","89.880","0.14K","0.30%"
"Jan 12, 2021","90.044","90.445","90.550","89.990","0.15K","-0.42%"
"Jan 11, 2021","90.422","90.205","90.670","90.170","0.18K","0.42%"
"Jan 08, 2021","90.048","89.855","90.145","89.620","0.29K","0.31%"
"Jan 07, 2021","89.771","89.345","89.900","89.345","0.13K","0.32%"
"Jan 06, 2021","89.482","89.360","89.750","89.155","0.12K","0.10%"
"Jan 05, 2021","89.389","89.790","89.790","89.375","0.09K","-0.48%"
"Jan 04, 2021","89.819","89.735","89.890","89.380","0.13K","-0.04%"
"Dec 31, 2020","89.859","89.500","89.930","89.500","0.09K","0.27%"
"Dec 30, 2020","89.614","89.868","89.900","89.515","-","-0.30%"
"Dec 29, 2020","89.883","90.100","90.100","89.830","0.04K","-0.40%"
"Dec 28, 2020","90.240","90.100","90.260","89.890","0.07K","0.03%"
"Dec 24, 2020","90.215","90.115","90.225","90.075","0.02K","-0.10%"
"Dec 23, 2020","90.306","90.400","90.460","90.070","0.03K","-0.23%"
"Dec 22, 2020","90.511","90.055","90.550","90.055","0.04K","0.66%"
"Dec 21, 2020","89.914","90.000","90.910","89.970","0.09K","-0.01%"
"Dec 18, 2020","89.920","89.805","89.900","89.770","0.01K","0.24%"
"Dec 17, 2020","89.706","90.050","90.050","89.620","0.23K","-0.69%"
"Dec 16, 2020","90.327","90.330","90.560","90.030","0.05K","-0.05%"
"Dec 15, 2020","90.369","90.550","90.685","90.325","0.02K","-0.32%"
"Dec 14, 2020","90.655","90.730","90.845","90.345","23.43K","-0.30%"
"Dec 11, 2020","90.924","90.670","90.975","90.545","21.50K","0.19%"
"Dec 10, 2020","90.751","91.000","91.080","90.575","27.05K","-0.29%"
"Dec 09, 2020","91.011","90.830","91.120","90.595","14.05K","0.14%"
"Dec 08, 2020","90.880","90.825","90.925","90.660","10.38K","0.20%"
"Dec 07, 2020","90.702","90.675","91.150","90.515","8.92K","0.10%"
"Dec 04, 2020","90.609","90.585","90.780","90.380","7.98K","-0.04%"
"Dec 03, 2020","90.645","91.030","91.030","90.435","1.98K","-0.45%"
"Dec 02, 2020","91.052","91.160","91.430","90.915","1.00K","-0.19%"
"Dec 01, 2020","91.227","91.825","91.835","91.085","1.00K","-0.62%"
"Nov 30, 2020","91.792","91.695","91.955","91.425","0.90K","0.06%"
"Nov 27, 2020","91.741","91.930","91.980","91.690","0.21K","-0.18%"
"Nov 26, 2020","91.906","91.905","92.100","91.785","0.22K","0.00%"
"Nov 25, 2020","91.906","92.118","92.252","91.910","-","-0.28%"
"Nov 24, 2020","92.165","92.445","92.500","92.065","0.42K","-0.29%"
"Nov 23, 2020","92.434","92.325","92.730","91.955","0.35K","0.11%"
"Nov 20, 2020","92.335","92.250","92.350","92.150","0.16K","0.11%"
"Nov 19, 2020","92.234","92.445","92.620","92.190","0.19K","-0.03%"
"Nov 18, 2020","92.261","92.405","92.450","92.150","0.13K","-0.09%"
"Nov 17, 2020","92.348","92.445","92.485","92.200","0.15K","-0.25%"
"Nov 16, 2020","92.580","92.620","92.785","92.400","0.14K","-0.14%"
"Nov 13, 2020","92.708","92.895","92.960","92.670","0.11K","-0.22%"
"Nov 12, 2020","92.915","92.970","93.045","92.730","0.21K","-0.08%"
"Nov 11, 2020","92.994","92.665","93.165","92.600","0.17K","0.31%"
"Nov 10, 2020","92.706","92.715","92.935","92.585","0.16K","0.02%"
"Nov 09, 2020","92.685","92.155","92.925","92.120","0.40K","0.53%"
"Nov 06, 2020","92.195","92.750","92.750","92.130","0.23K","-0.31%"
"Nov 05, 2020","92.486","93.360","93.365","92.485","0.28K","-0.96%"
"Nov 04, 2020","93.381","93.555","94.250","93.230","0.15K","-0.16%"
"Nov 03, 2020","93.530","93.980","93.980","93.305","0.07K","-0.61%"
"Nov 02, 2020","94.105","94.105","94.165","93.965","0.15K","0.10%"
"Oct 30, 2020","94.007","93.910","94.010","93.755","0.08K","0.07%"
"Oct 29, 2020","93.942","93.400","94.075","93.325","0.13K","0.60%"
"Oct 28, 2020","93.379","93.125","93.615","93.125","0.16K","0.52%"
"Oct 27, 2020","92.897","92.915","93.000","92.790","0.10K","-0.12%"
"Oct 26, 2020","93.009","92.715","93.050","92.715","0.04K","0.30%"
"Oct 23, 2020","92.730","93.065","93.065","92.635","0.06K","-0.21%"
"Oct 22, 2020","92.929","92.675","92.930","92.610","0.08K","0.39%"
"Oct 21, 2020","92.564","92.920","92.920","92.460","0.12K","-0.49%"
"Oct 20, 2020","93.016","93.400","93.460","92.975","0.10K","-0.40%"
"Oct 19, 2020","93.394","93.690","93.690","93.185","0.12K","-0.27%"
"Oct 16, 2020","93.644","93.770","93.810","93.505","0.10K","-0.20%"
"Oct 15, 2020","93.829","93.395","93.850","93.385","0.07K","0.52%"
"Oct 14, 2020","93.346","93.525","93.525","93.245","0.14K","-0.17%"
"Oct 13, 2020","93.501","93.045","93.580","93.045","0.15K","0.47%"
"Oct 12, 2020","93.066","93.115","93.205","93.010","0.06K","0.03%"
"Oct 09, 2020","93.040","93.400","93.405","92.975","0.08K","-0.62%"
"Oct 08, 2020","93.623","93.660","93.775","93.535","0.16K","-0.03%"
"Oct 07, 2020","93.653","93.850","93.940","93.600","0.08K","-0.07%"
"Oct 06, 2020","93.719","93.400","93.870","93.400","0.15K","0.20%"
"Oct 05, 2020","93.530","93.845","93.845","93.395","0.13K","-0.37%"
"Oct 02, 2020","93.874","93.755","94.030","93.705","0.10K","0.16%"
"Oct 01, 2020","93.725","93.890","93.925","93.580","0.12K","-0.18%"
"Sep 30, 2020","93.897","93.880","94.190","93.715","0.09K","0.00%"
"Sep 29, 2020","93.895","94.235","94.280","93.865","0.13K","-0.40%"
